Descrip,FoodGroup,Energy_kcal,Protein_g,Fat_g,Carb_g,Zinc_mg,Magnesium_mg,VitB6_mg,VitB12_mcg,Selenium_mcg,VitA_mcg,Iron_mg,Sugar_g,Fiber_g
"Beef, variety meats and by-products, liver, raw",Beef Products,135,20.4,3.8,3.9,4.0,18,0.9,59.3,39.7,4968,6.5,0,0
"Beef, ground, 85% lean meat / 15% fat, raw",Beef Products,215,18.6,15.0,0,4.5,18,0.3,2.1,14.2,0,1.8,0,0
"Beef, chuck, arm pot roast, raw",Beef Products,197,19.0,13.0,0,5.3,20,0.35,2.3,20.0,0,2.1,0,0
"Beef, tenderloin, raw",Beef Products,186,20.8,10.8,0,4.3,21,0.4,1.6,18.0,0,2.0,0,0
"Egg, yolk, raw, fresh",Dairy and Egg Products,322,15.9,26.5,3.6,2.3,5,0.35,1.95,56.0,381,2.7,0.6,0
"Egg, whole, raw, fresh",Dairy and Egg Products,143,12.6,9.5,0.7,1.3,12,0.17,0.89,30.7,160,1.75,0.4,0
"Milk, whole, 3.25% milkfat",Dairy and Egg Products,61,3.2,3.3,4.8,0.4,10,0.036,0.45,2.1,46,0.03,5.1,0
"Cheese, cheddar",Dairy and Egg Products,403,24.9,33.1,1.3,3.1,28,0.08,0.83,13.7,265,0.68,0.5,0
"Yogurt, plain, low fat",Dairy and Egg Products,63,5.3,1.6,7.0,0.9,12,0.06,0.4,3.4,12,0.09,7.0,0
"Fruit, lemon, raw",Fruits and Fruit Juices,29,1.1,0.3,9.3,0.06,8,0.08,0,0.4,2,0.6,2.5,2.8
"Fruit, avocado, raw",Fruits and Fruit Juices,160,2.0,14.7,8.5,0.64,29,0.26,0,0.4,7,0.55,0.7,6.7
"Fruit, strawberries, raw",Fruits and Fruit Juices,32,0.7,0.3,7.7,0.14,13,0.05,0,0.4,1,0.41,4.9,2.0
"Fruit, apple, raw, with skin",Fruits and Fruit Juices,52,0.3,0.2,13.8,0.04,5,0.04,0,0,3,0.12,10.4,2.4
"Fruit, banana, raw",Fruits and Fruit Juices,89,1.1,0.3,22.8,0.15,27,0.37,0,1.0,3,0.26,12.2,2.6
"Fruit, mango, raw",Fruits and Fruit Juices,60,0.8,0.4,15.0,0.09,10,0.12,0,0.6,54,0.16,13.7,1.6
"Fruit, grapes, raw",Fruits and Fruit Juices,69,0.7,0.2,18.1,0.07,7,0.09,0,0.1,3,0.36,15.5,0.9
"Chicken, breast, meat only, raw",Poultry Products,120,22.5,2.6,0,0.7,25,0.6,0.3,22.5,6,0.7,0,0
"Chicken, thigh, meat only, raw",Poultry Products,149,19.4,8.0,0,1.6,20,0.32,0.34,19.0,9,1.0,0,0
"Turkey, breast, meat only, raw",Poultry Products,114,24.0,1.6,0,1.2,28,0.55,0.35,24.0,0,1.1,0,0
"Mollusks, oyster, eastern, wild, raw",Finfish and Shellfish Products,68,7.1,2.5,3.9,90.8,47,0.05,16.0,63.7,90,5.1,0,0
"Fish, salmon, Atlantic, raw",Finfish and Shellfish Products,208,20.4,13.4,0,0.4,27,0.6,3.2,36.5,12,0.3,0,0
"Fish, tuna, fresh, raw",Finfish and Shellfish Products,144,23.3,4.9,0,0.6,50,0.9,2.2,90.4,20,1.0,0,0
"Nuts, almonds, raw",Nut and Seed Products,579,21.2,49.9,21.6,3.1,270,0.14,0,4.1,0,3.7,4.4,12.5
"Seeds, pumpkin seeds, raw",Nut and Seed Products,559,30.2,49.0,10.7,7.8,592,0.14,0,9.4,16,8.8,1.4,6.0
"Pork, loin, raw",Pork Products,143,21.5,5.9,0,2.0,22,0.5,0.6,35.0,2,0.8,0,0
"Lamb, leg, raw","Lamb, Veal, and Game Products",155,20.0,7.7,0,3.4,21,0.14,2.2,19.6,0,1.6,0,0

